customer_id,tenure,contract,monthly_charges,total_charges,num_products,support_calls,complaints,auto_pay,age,is_active,churn
CUST-00001,18,month-to-month,60.38,1049.18,3,0,0,1,47,1,0
CUST-00002,25,month-to-month,26.85,673.58,1,0,0,1,43,1,1
CUST-00003,28,two-year,58.95,1580.95,1,1,0,1,28,1,0
CUST-00004,14,month-to-month,59.22,795.98,1,2,2,1,28,0,1
CUST-00005,39,two-year,85.61,3437.05,1,1,0,0,18,1,0
CUST-00006,15,month-to-month,54.97,808.98,2,0,0,1,18,1,0
CUST-00007,21,month-to-month,60.33,1261.65,1,1,0,0,43,1,0
CUST-00008,31,two-year,60.63,1862.2,1,2,3,1,79,1,0
CUST-00009,27,month-to-month,86.43,2359.45,4,2,1,0,71,1,1
CUST-00010,12,month-to-month,92.4,1125.21,3,2,1,0,30,0,0
CUST-00011,46,two-year,80.95,3656.52,2,0,2,1,47,1,0
CUST-00012,10,month-to-month,84.89,808.49,3,2,1,0,23,1,0
CUST-00013,22,month-to-month,74.4,1509.96,3,2,1,0,25,1,1
CUST-00014,32,two-year,48.56,1534.63,1,1,0,1,27,1,0
CUST-00015,9,month-to-month,42.38,385.54,2,0,0,0,41,1,0
CUST-00016,23,month-to-month,52.49,1170.52,2,2,0,0,42,1,0
CUST-00017,13,month-to-month,43.8,534.16,1,0,0,0,48,1,1
CUST-00018,7,month-to-month,34.77,231.63,1,1,0,0,54,1,1
CUST-00019,25,month-to-month,62.92,1535.4,1,0,0,1,39,1,0
CUST-00020,10,one-year,88.54,896.06,2,1,1,1,45,1,0
CUST-00021,8,month-to-month,62.65,470.57,3,1,0,0,28,1,1
CUST-00022,21,one-year,84.1,1743.73,3,1,1,0,24,1,0
CUST-00023,27,month-to-month,36.39,985.35,1,1,1,0,22,1,0
CUST-00024,24,month-to-month,49.51,1215.53,1,1,0,0,54,1,1
CUST-00025,18,month-to-month,54.57,916.29,2,0,1,0,39,1,1
CUST-00026,8,one-year,77.83,636.28,2,0,0,1,18,1,0
CUST-00027,10,month-to-month,66.78,658.56,3,0,0,0,44,1,0
CUST-00028,12,month-to-month,97.21,1171.58,3,0,0,0,26,1,0
CUST-00029,19,two-year,74.58,1312.04,3,0,0,1,69,1,0
CUST-00030,7,one-year,67.31,459.71,3,1,3,1,36,1,0
CUST-00031,16,month-to-month,68.44,1082.44,4,2,1,0,55,1,0
CUST-00032,36,two-year,71.56,2457.02,2,3,1,1,61,1,1
CUST-00033,11,month-to-month,71.11,756.77,1,1,1,1,30,1,0
CUST-00034,27,month-to-month,59.92,1587.06,1,1,0,0,46,1,0
CUST-00035,4,month-to-month,95.3,373.87,1,1,1,1,53,1,0
CUST-00036,6,month-to-month,80.74,447.92,1,0,0,1,46,0,1
CUST-00037,16,month-to-month,49.46,766.31,1,3,2,0,50,1,1
CUST-00038,15,one-year,85.28,1206.95,4,2,1,1,25,1,0
CUST-00039,23,month-to-month,63.45,1489.76,1,2,0,0,53,1,0
CUST-00040,32,two-year,75.92,2496.06,4,2,0,1,37,1,0
CUST-00041,23,two-year,99.99,2191.59,3,0,0,1,50,1,0
CUST-00042,9,one-year,73.51,621.41,2,0,0,1,58,1,0
CUST-00043,15,one-year,71.62,1014.3,2,0,0,0,55,1,0
CUST-00044,26,one-year,67.37,1703.54,1,2,1,0,50,1,0
CUST-00045,36,two-year,98.01,3585.5,2,0,1,0,54,1,0
CUST-00046,10,month-to-month,58.08,566.28,1,1,0,0,55,1,0
CUST-00047,2,month-to-month,88.97,164.79,4,3,1,1,67,1,0
CUST-00048,4,month-to-month,82.16,303.79,1,2,1,1,44,0,0
CUST-00049,20,month-to-month,72.42,1368.76,1,3,0,1,47,1,0
CUST-00050,11,month-to-month,61.22,681.98,2,0,0,1,58,1,0
CUST-00051,16,one-year,67.09,1060.95,2,0,0,1,37,1,0
CUST-00052,6,month-to-month,70.52,415.47,2,0,1,0,24,1,0
CUST-00053,18,two-year,73.51,1263.75,2,0,0,0,52,1,0
CUST-00054,27,month-to-month,30.58,844.02,1,1,1,1,41,1,0
CUST-00055,20,month-to-month,39.24,750.61,2,3,1,1,26,1,1
CUST-00056,9,month-to-month,39.03,355.43,1,1,1,1,52,1,0
CUST-00057,15,month-to-month,37.63,574.92,1,0,0,1,66,1,0
CUST-00058,17,month-to-month,43.41,718.17,1,2,1,1,20,1,1
CUST-00059,42,month-to-month,66.42,2840.89,1,0,2,0,60,1,1
CUST-00060,5,month-to-month,51.96,246.93,1,1,0,0,18,1,0
CUST-00061,17,month-to-month,70.54,1190.1,2,2,3,1,38,0,1
CUST-00062,26,month-to-month,32.96,796.7,1,1,0,1,72,1,0
CUST-00063,39,month-to-month,46.69,1770.17,1,2,2,0,40,1,0
CUST-00064,8,month-to-month,77.57,585.75,2,1,1,0,46,1,0
CUST-00065,10,month-to-month,65.71,609.07,1,1,1,1,56,1,0
CUST-00066,23,month-to-month,53.96,1142.3,2,0,0,0,19,1,1
CUST-00067,3,month-to-month,93.91,269.26,4,1,3,1,46,1,1
CUST-00068,18,month-to-month,94.58,1676.65,1,1,0,1,45,1,0
CUST-00069,57,one-year,78.68,4350.56,3,0,0,0,72,0,1
CUST-00070,32,two-year,42.52,1296.95,1,0,1,1,26,1,0
CUST-00071,13,two-year,51.87,693.89,1,1,1,1,39,0,1
CUST-00072,7,month-to-month,68.66,491.84,2,1,1,0,31,1,0
CUST-00073,8,month-to-month,76.28,569.86,3,1,0,1,29,1,0
CUST-00074,31,month-to-month,78.44,2348.14,3,3,2,0,61,1,1
CUST-00075,18,one-year,29.02,517.85,1,1,0,0,45,1,0
